scheme_id,scheme_name,department,category,description,beneficiary,benefit_type,eligibility,required_documents,application_mode,application_link,official_website,official_source,status,last_verified
TN-SW-001,Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme (Pudhumai Penn),Social Welfare & Women Empowerment,Education,Monthly financial assistance to girls for higher education,Girl Students,Monthly ₹1000,Girls who studied Class 6-12 in Govt schools,Aadhaar; EMIS; Bank Passbook,Online,https://pudhumaipenn.tn.gov.in/,https://pudhumaipenn.tn.gov.in/,https://pudhumaipenn.tn.gov.in/,Active,2026-07-30
TN-SW-006,Chief Minister's Girl Child Protection Scheme,Social Welfare & Women Empowerment,Girl Child Welfare,Financial deposit for girl children in families with no male child,Girl Children,Long-term Financial Deposit,BPL families with 1 or 2 girl children and no male child,Birth Certificate; Income Certificate; Sterilization Certificate,Online/Offline,https://tnesevai.tn.gov.in/,https://tnsocialwelfare.tn.gov.in/,https://services.india.gov.in/service/detail/e-district-social-welfare-project-for-girl-child-protection-schemes-tamil-nadu,Active,2026-07-30
TN-SW-007,Kalaignar Magalir Urimai Thittam,Social Welfare & Women Empowerment,Women Welfare,Monthly financial assistance to eligible women heads of families,Eligible Women Heads of Family,Monthly ₹1000,Annual family income below ₹2.5 Lakhs and land ownership within limits,Aadhaar; Ration Card; Bank Account,Online/Camp,https://kmut.tn.gov.in/,https://kmut.tn.gov.in/,https://kmut.tn.gov.in/,Active,2026-07-30
TN-SW-008,Sathiyavani Muthu Ammaiyar Free Sewing Machine Scheme,Social Welfare & Women Empowerment,Livelihood,Provision of free sewing machines to enhance livelihood,Widows / Destitute Women,Free Sewing Machine,Age 20-40 years; BPL category,Income Certificate; Age Proof; Destitute Certificate,Offline,Not Available,https://tnsocialwelfare.tn.gov.in/,https://www.tn.gov.in/scheme/data_view/44583,Active,2026-07-30
TN-SW-009,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance,Social Welfare & Women Empowerment,Women Welfare,Financial assistance for widow remarriage,Widows,Financial Assistance + Gold Coin,No age limit for widow; Groom age max 40,Death Certificate of first husband; Age Proof; Marriage Invitation,Online/Offline,https://tnesevai.tn.gov.in/,https://tnsocialwelfare.tn.gov.in/,https://services.india.gov.in/service/detail/e-district-social-welfare-project-for-marriage-assistance-schemes-tamil-nadu,Active,2026-07-30
TN-SW-010,E.V.R. Maniammaiyar Ninaivu Marriage Assistance,Social Welfare & Women Empowerment,Marriage Assistance,Marriage assistance for daughters of poor widows,Daughters of Poor Widows,Financial Assistance + Gold Coin,Annual income below ₹72000,Income Certificate; Age Proof; Widow Certificate of Mother,Online/Offline,https://tnesevai.tn.gov.in/,https://tnsocialwelfare.tn.gov.in/,https://services.india.gov.in/service/detail/e-district-social-welfare-project-for-marriage-assistance-schemes-tamil-nadu,Active,2026-07-30
TN-SW-011,Annai Theresa Ninaivu Marriage Assistance,Social Welfare & Women Empowerment,Marriage Assistance,Marriage assistance for orphan girls,Orphan Girls,Financial Assistance + Gold Coin,Must be an orphan; No income limit,Orphan Certificate; Age Proof; Marriage Invitation,Online/Offline,https://tnesevai.tn.gov.in/,https://tnsocialwelfare.tn.gov.in/,https://services.india.gov.in/service/detail/e-district-social-welfare-project-for-marriage-assistance-schemes-tamil-nadu,Active,2026-07-30
TN-SW-012,Dr. Muthulakshmi Reddy Ninaivu Inter-Caste Marriage Assistance,Social Welfare & Women Empowerment,Social Justice,Marriage assistance for inter-caste couples,Inter-caste Couples,Financial Assistance + Gold Coin,One spouse must be from SC/ST category,Community Certificates; Marriage Registration Certificate,Online/Offline,https://tnesevai.tn.gov.in/,https://tnsocialwelfare.tn.gov.in/,https://services.india.gov.in/service/detail/e-district-social-welfare-project-for-marriage-assistance-schemes-tamil-nadu,Active,2026-07-30
TN-SW-013,Transgender Pension Scheme,Social Welfare & Women Empowerment,Social Security,Monthly pension for destitute transgender persons,Transgender Persons,Monthly ₹1500,Age above 40; Must possess Transgender ID card; BPL category,Transgender ID Card; Aadhaar; Bank Details,Offline,Not Available,https://tnsocialwelfare.tn.gov.in/,https://tnsocialwelfare.tn.gov.in/en/transgender/schemes,Active,2026-07-30
TN-ED-002,Thamizh Puthalvan Thittam,Social Welfare & Women Empowerment,Education,Monthly financial assistance to boys for higher education,Boy Students,Monthly ₹1000,Boys who studied Class 6-12 in Govt schools,Aadhaar; EMIS; Bank Passbook,Online,https://www.tamilputhalvan.tn.gov.in/,https://www.tamilputhalvan.tn.gov.in/,https://www.tamilputhalvan.tn.gov.in/,Active,2026-07-30
TN-ED-003,Chief Minister's Breakfast Scheme,School Education,Education/Nutrition,Nutritious breakfast for primary school children,Primary Students (Class 1-5),Free Nutritious Breakfast,Students enrolled in Government primary schools,School Enrollment Details,Institution Level,https://cmbreakfast.tn.gov.in/,https://cmbreakfast.tn.gov.in/,https://cmbreakfast.tn.gov.in/,Active,2026-07-30
TN-ED-004,Illam Thedi Kalvi,School Education,Education,After-school remedial tutoring program,Students (Class 1-8),After-school Tutoring,Students in Government and Aided Schools,,Volunteer/Direct,https://illamthedikalvi.tnschools.gov.in/,https://illamthedikalvi.tnschools.gov.in/,https://illamthedikalvi.tnschools.gov.in/,Active,2026-07-30
TN-ED-011,Naan Mudhalvan,Special Prog. Implementation,Skill Development,Skill training and career guidance for students,School & College Students,Skill Training,Youth in TN schools and colleges,Educational ID,Online/Institution,https://www.naanmudhalvan.tn.gov.in/,https://www.naanmudhalvan.tn.gov.in/,https://www.naanmudhalvan.tn.gov.in/,Active,2026-07-30
TN-TR-001,Vidiyal Payanam (Free Bus Travel Scheme),Transport,Transport Welfare,Free travel in ordinary town buses,Women and Transgender Persons,Free Bus Travel,All women and transgender persons in Tamil Nadu,,Automatic,Not Applicable,https://www.tn.gov.in/,https://www.tn.gov.in/scheme/data_view/88166,Active,2026-07-30
TN-HF-001,Dr. Muthulakshmi Reddy Maternity Benefit Scheme,Health & Family Welfare,Maternity,Financial assistance and nutrition kits for pregnant women,Pregnant Women,₹18000 + Nutrition Kit,Pregnant women aged 19 and above; up to 2 deliveries,PICME Registration; Aadhaar; Bank Details,Online/PHC,https://picme.tn.gov.in/,https://picme.tn.gov.in/,https://picme.tn.gov.in/,Active,2026-07-30
TN-HF-002,Makkalai Thedi Maruthuvam,Health & Family Welfare,Healthcare,Doorstep medical services for non-communicable diseases,NCD Patients & Elderly,Doorstep Medical Services,Citizens aged 45+ with BP/Diabetes or persons requiring palliative care,Aadhaar; Medical Records,Direct/Health Worker,https://mtm.tn.gov.in/,https://mtm.tn.gov.in/,https://mtm.tn.gov.in/,Active,2026-07-30
TN-HF-003,Chief Minister's Comprehensive Health Insurance Scheme (CMCHIS),Health & Family Welfare,Health Insurance,Cashless hospitalization coverage,BPL Families,Medical Insurance up to ₹5L,Annual family income below ₹1.2 Lakhs,Income Certificate; Ration Card; Aadhaar,Online/Kiosk,https://www.cmchistn.com/,https://www.cmchistn.com/,https://www.cmchistn.com/,Active,2026-07-30
TN-HF-004,Innuyir Kappom - Nammai Kaakkum 48,Health & Family Welfare,Emergency Care,Free emergency care for road accident victims in the first 48 hours,Road Accident Victims,Free Emergency Care,Any road accident victim within Tamil Nadu borders,None (Emergency),Hospital Level,https://nk48.tn.gov.in/,https://nk48.tn.gov.in/,https://nk48.tn.gov.in/,Active,2026-07-30
TN-SS-001,Indira Gandhi National Old Age Pension Scheme (IGNOAPS),Revenue & Disaster Management,Social Security,Monthly pension for destitute senior citizens,Senior Citizens (BPL),Monthly ₹1200,Age 60 or above; Destitute/BPL,Aadhaar; Age Proof; Destitute Certificate,Taluk Office/Online,https://tnesevai.tn.gov.in/,https://cra.tn.gov.in/,https://cra.tn.gov.in/social-security-scheme.php,Active,2026-07-30
TN-SS-002,Differently Abled Pension Scheme,Revenue & Disaster Management,Social Security,Monthly pension for differently abled persons,Differently Abled Persons,Monthly ₹1500,Minimum 40% disability; Age 18 and above,Disability Certificate; Aadhaar,Taluk Office/Online,https://tnesevai.tn.gov.in/,https://cra.tn.gov.in/,https://cra.tn.gov.in/social-security-scheme.php,Active,2026-07-30
